Winner, Loser, WRank, LRank, Court, Surface, Round, Series, WElapsed, LElapsed, WRClay, WRGrass, WRHard, LRClay, LRGrass, LRHard, WAvgSpeed, LAvgSpeed, Wsets, Lsets, WDigit, LDigit
Vesely, Statham, 54.000000, 434.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 730.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Baghdatis, Brown, 36.000000, 70.000000, Outdoor, Hard, 2nd Round, ATP250, 1.000000, 2.000000, 0.058824, 0.223529, 0.717647, 0.340426, 0.276596, 0.382979, 168.784262, 176.681588, 2.000000, 1.000000, 1, 0
Chardy, Lopez, 71.000000, 28.000000, Outdoor, Hard, 2nd Round, ATP250, 1.000000, 2.000000, 0.318584, 0.106195, 0.575221, 0.263158, 0.230263, 0.506579, 182.488035, 163.491159, nan, nan, 1, 0
Sock, Harrison, 23.000000, 89.000000, Outdoor, Hard, 2nd Round, ATP250, 68.000000, 2.000000, 0.208955, 0.082090, 0.708955, 0.102041, 0.040816, 0.857143, 176.638039, 178.005051, 2.000000, 1.000000, 1, 0
Sousa, Haase, 44.000000, 58.000000, Outdoor, Hard, Quarterfinals, ATP250, 2.000000, 1.000000, 0.412281, 0.070175, 0.517544, 0.451613, 0.118280, 0.430108, 164.660227, 172.912826, 2.000000, 0.000000, 1, 0
Johnson, Isner, 33.000000, 19.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.142857, 0.205357, 0.651786, 0.203390, 0.118644, 0.677966, 174.626770, 193.113282, 2.000000, 1.000000, 1, 0
Baghdatis, Vesely, 36.000000, 54.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.058824, 0.223529, 0.717647, 0.481013, 0.126582, 0.392405, 168.784262, 181.729904, 2.000000, 0.000000, 1, 0
Sock, Chardy, 23.000000, 71.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.208955, 0.082090, 0.708955, 0.318584, 0.106195, 0.575221, 176.638039, 182.488035, 2.000000, 1.000000, 1, 0
Sousa, Baghdatis, 44.000000, 36.000000, Outdoor, Hard, Semifinals, ATP250, 2.000000, 1.000000, 0.412281, 0.070175, 0.517544, 0.058824, 0.223529, 0.717647, 164.660227, 168.784262, 2.000000, 0.000000, 1, 0
Sock, Johnson, 23.000000, 33.000000, Outdoor, Hard, Semifinals, ATP250, 1.000000, 1.000000, 0.208955, 0.082090, 0.708955, 0.142857, 0.205357, 0.651786, 176.638039, 174.626770, 2.000000, 0.000000, 1, 0
Sock, Sousa, 23.000000, 44.000000, Outdoor, Hard, The Final, ATP250, 1.000000, 1.000000, 0.208955, 0.082090, 0.708955, 0.412281, 0.070175, 0.517544, 176.638039, 164.660227, 2.000000, 1.000000, 1, 0
Mahut, Bellucci, 38.000000, 62.000000, Outdoor, Hard, 1st Round, ATP250, 3.000000, 79.000000, 0.094595, 0.432432, 0.472973, 0.666667, 0.012821, 0.320513, 172.332695, 168.661962, 2.000000, 0.000000, 1, 0
Barton, Edmund, 198.000000, 45.000000, Outdoor, Hard, 1st Round, ATP250, 192.000000, 3.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Evans, Monteiro, 67.000000, 83.000000, Outdoor, Hard, 1st Round, ATP250, 128.000000, 7.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
